Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium,Revenue,Operating Income,Net Income
2003,Oakland Athletics,AL West,96,66,1,Lost LDS (3-2),"2,216,596","27,365",6th of 14,"$50,260,834 ",98,99,Network Associates Coliseum,110,11.2,
2003,New York Yankees,AL East,101,61,1,Lost WS (4-2),"3,465,600","42,263",1st of 14,"$152,749,814 ",97,98,Yankee Stadium II,238,-26.3,
2003,New York Mets,NL East,66,95,5,,"2,140,599","26,757",11th of 16,"$117,176,429 ",98,97,Shea Stadium,158,-19.3,
2003,Miami Marlins,NL East,91,71,2,Won WS (4-2),"1,303,215","16,089",15th of 16,"$49,450,000 ",98,98,Pro Player Stadium,101,3,
2003,Minnesota Twins,AL Central,90,72,1,Lost LDS (3-1),"1,946,011","24,025",8th of 14,"$55,505,000 ",100,101,Hubert H. Humphrey Metrodome,99,-0.5,
2003,Detroit Tigers,AL Central,43,119,5,,"1,368,245","16,892",13th of 14,"$49,168,000 ",95,93,Comerica Park,117,7.9,
2003,Milwaukee Brewers,NL Central,68,94,6,,"1,700,354","20,992",13th of 16,"$40,627,000 ",100,98,Miller Park,102,24.2,
2003,Los Angeles Angels,AL West,77,85,3,,"3,061,094","37,330",3rd of 14,"$79,031,667 ",97,98,Edison Field,127,-30,
2003,Houston Astros,NL Central,87,75,2,,"2,454,241","30,299",6th of 16,"$71,040,000 ",102,103,Minute Maid Park,128,9.6,
2003,Los Angeles Dodgers,NL West,85,77,2,,"3,138,626","38,748",2nd of 16,"$105,872,620 ",94,94,Dodger Stadium,154,-7.4,
2003,Kansas City Royals,AL Central,83,79,3,,"1,779,895","22,249",10th of 14,"$40,518,000 ",108,107,Kauffman Stadium,98,3,
2003,Atlanta Braves,NL East,101,61,1,Lost LDS (3-2),"2,401,084","29,643",7th of 16,"$106,243,667 ",100,101,Turner Field,156,15.4,
2004,Baltimore Orioles,AL East,78,84,3,,"2,744,018","33,877",5th of 14,"$51,623,333 ",98,98,Oriole Park at Camden Yards,148,34,
2004,Chicago White Sox,AL Central,83,79,2,,"1,930,537","23,834",8th of 14,"$65,212,500 ",101,102,U.S. Cellular Field,131,8.1,
2004,Chicago Cubs,NL Central,89,73,3,,"3,170,154","38,660",4th of 16,"$90,560,000 ",102,102,Wrigley Field,170,11.4,
2004,Arizona Diamondbacks,NL West,51,111,5,,"2,519,560","31,106",8th of 16,"$69,780,750 ",106,105,Bank One Ballpark,136,-18.7,
2004,Boston Red Sox,AL East,98,64,2,Won WS (4-0),"2,837,294","35,028",4th of 14,"$127,298,500 ",104,106,Fenway Park,201,-11.3,
2004,Cleveland Indians,AL Central,80,82,3,,"1,814,401","22,400",12th of 14,"$34,319,300 ",94,94,Jacobs Field,139,27.2,
2004,Tampa Bay Rays,AL East,70,91,4,,"1,274,911","15,936",14th of 14,"$29,856,667 ",97,96,"Tropicana Field, Tokyo Dome",110,27.2,
2004,Montreal Expos,NL East,67,95,5,,"749,550","9,369",16th of 16,"$41,197,500 ",105,104,"Stade Olympique, Estadio Hiram Bithorn",80,-3,
2004,Texas Rangers,AL West,89,73,3,,"2,513,685","31,033",6th of 14,"$55,050,417 ",108,108,The Ballpark in Arlington,142,2.9,
2004,Toronto Blue Jays,AL East,67,94,5,,"1,900,041","23,457",11th of 14,"$50,017,000 ",104,104,SkyDome,107,7.8,
2004,Cincinnati Reds,NL Central,76,86,4,,"2,287,250","28,238",12th of 16,"$46,915,250 ",98,97,Great American Ball Park,127,22.6,
2004,St Louis Cardinals,NL Central,105,57,1,Lost WS (4-0),"3,048,427","37,635",6th of 16,"$84,340,333 ",98,99,Busch Stadium II,151,-3.9,
2004,San Francisco Giants,NL West,91,71,2,,"3,256,854","39,718",3rd of 16,"$82,019,166 ",101,101,SBC Park,159,6.9,
2004,Seattle Mariners,AL West,63,99,4,,"2,940,731","35,863",3rd of 14,"$81,515,834 ",97,97,Safeco Field,173,10.8,
